f_time,lat,lng,intensity,wind,minimum central pressure,type
6hr,18.5,150.0,TS,75,995,forecast
12hr,21.0,149.8,TS,85,990,forecast
18hr,23.0,149.5,STS,90,985,forecast
24hr,24.5,147.5,STS,105,982,forecast
30hr,25.0,146.5,STS,110,980,forecast
36hr,25.5,145.0,TY,120,975,forecast
42hr,26.0,144.0,TY,130,970,forecast
48hr,26.5,143.0,TY,140,965,forecast
54hr,27.0,142.0,TY,145,960,forecast
60hr,27.5,141.0,STY,155,955,forecast
66hr,28.0,140.0,STY,155,955,forecast
72hr,28.5,139.5,STY,155,955,forecast
78hr,29.0,139.0,STY,155,955,forecast
84hr,30.0,139.2,STY,155,955,forecast
90hr,31.5,139.5,STY,155,955,forecast
96hr,33.0,140.0,STY,155,955,forecast
102hr,34.5,140.5,TY,145,960,forecast
108hr,36.0,141.0,TY,145,960,forecast
114hr,38.5,143.0,TY,145,960,forecast
120hr,40.0,145.0,TY,140,965,forecast
