f_time,lat,lng,intensity,wind,minimum central pressure,type
6hr,14.0,140.0,TS,65,1002,forecast
12hr,14.5,139.5,TS,65,1002,forecast
18hr,15.0,138.5,TS,75,998,forecast
24hr,16.0,137.5,TS,85,992,forecast
30hr,17.0,136.5,STS,90,988,forecast
36hr,17.2,135.0,STS,105,982,forecast
42hr,17.5,133.5,STS,110,980,forecast
48hr,18.0,132.0,TY,120,975,forecast
54hr,18.5,131.0,TY,130,970,forecast
60hr,19.0,130.0,TY,140,965,forecast
66hr,19.5,129.0,TY,145,960,forecast
72hr,20.0,128.0,STY,150,955,forecast
78hr,20.3,127.5,STY,165,950,forecast
84hr,20.6,127.0,STY,175,945,forecast
90hr,20.9,126.5,SUTY,185,935,forecast
96hr,21.2,126.0,SUTY,185,935,forecast
102hr,21.4,125.5,SUTY,185,935,forecast
108hr,21.8,125.4,SUTY,185,935,forecast
114hr,22.2,125.3,SUTY,185,935,forecast
120hr,22.5,125.2,SUTY,185,935,forecast
