datetime,lat,lng,intensity,wind,minimum central pressure,type
17/08/2026 20:00,21.5,118.2,LPA,35,1002,past
17/08/2026 23:00,21.0,116.0,LPA,35,1002,past
18/08/2026 02:00,20.3,117.0,LPA,35,1002,past
18/08/2026 05:00,20.0,117.0,LPA,35,1002,past
18/08/2026 08:00,19.9,117.0,LPA,35,1002,past
18/08/2026 11:00,19.8,117.0,LPA,35,1002,past
18/08/2026 14:00,19.0,116.9,LPA,35,1002,past
18/08/2026 17:00,19.0,116.6,LPA,40,1001,past
18/08/2026 20:00,19.3,116.3,LPA,40,1001,past
18/08/2026 23:00,19.3,116.2,LPA,40,1001,past
19/08/2026 02:00,19.2,115.0,LPA,40,1001,past
19/08/2026 05:00,19.2,114.6,LPA,40,1001,past
19/08/2026 08:00,19.0,114.2,LPA,40,1001,past
19/08/2026 11:00,19.4,113.8,LPA,40,1001,past
19/08/2026 14:00,19.5,111.8,LPA,40,1001,past
19/08/2026 17:00,19.0,111.0,LPA,40,1001,past
19/08/2026 20:00,19.2,110.8,TD,45,998,past
19/08/2026 23:00,19.3,110.7,TD,45,998,past
20/08/2026 02:00,19.6,110.6,TD,45,998,past
20/08/2026 05:00,19.6,110.5,TD,45,998,past
20/08/2026 08:00,19.4,109.9,TD,45,998,past
20/08/2026 11:00,19.5,109.9,TD,45,998,past
20/08/2026 14:00,19.5,109.7,TD,45,998,past
20/08/2026 17:00,19.6,109.2,TD,45,998,past
20/08/2026 20:00,19.7,109.2,TD,45,998,past
20/08/2026 23:00,19.9,109.1,TD,45,998,past
21/08/2026 02:00,19.9,108.7,TD,55,997,past
21/08/2026 05:00,20.3,108.4,TD,55,997,past
21/08/2026 08:00,20.4,108.4,TD,55,997,past
21/08/2026 11:00,20.5,108.4,TS,65,995,current
