datetime,lat,lng,intensity,wind,minimum central pressure,type
18/08/2026 14:00,8.0,155.0,TD,45,1005,past
18/08/2026 20:00,7.9,154.9,TD,45,1005,past
19/08/2026 02:00,7.7,154.5,TD,45,1005,past
19/08/2026 08:00,8.0,154.2,TS,65,998,past
19/08/2026 14:00,8.4,153.8,TS,65,998,past
19/08/2026 20:00,8.8,153.2,TS,65,998,past
20/08/2026 02:00,10.5,152.3,TS,65,998,past
20/08/2026 08:00,11.2,151.9,TS,65,998,past
20/08/2026 14:00,12.0,151.0,TS,65,998,past
20/08/2026 20:00,12.8,150.5,TS,75,995,past
21/08/2026 02:00,13.7,149.7,TS,75,995,past
21/08/2026 08:00,14.2,149.3,STS,90,985,past
21/08/2026 14:00,14.9,148.6,STS,110,980,past
21/08/2026 20:00,15.9,148.3,STS,110,980,past
22/08/2026 02:00,16.9,147.8,TY,130,970,past
22/08/2026 08:00,18.0,146.8,TY,140,965,current
