datetime,lat,lng,intensity,wind,minimum central pressure,type
5/8/2026 14:00,19.5,165.8,TD,55,998,past
5/8/2026 20:00,21.9,166.0,TD,55,998,past
6/8/2026 02:00,23.8,165.4,TS,65,997,past
6/8/2026 08:00,24.6,165.1,TS,75,992,past
6/8/2026 14:00,26.2,163.6,TS,75,992,past
6/8/2026 20:00,27.4,162.3,TS,75,992,past
7/8/2026 02:00,28.4,162.0,TS,75,992,past
7/8/2026 08:00,29.3,161.1,TS,75,992,past
7/8/2026 14:00,29.6,160.3,TS,75,992,past
7/8/2026 20:00,31.0,159.6,TS,65,995,past
8/8/2026 02:00,32.0,158.0,TD,55,998,past
8/8/2026 08:00,32.5,156.6,TD,55,998,past
8/8/2026 14:00,33.1,155.0,TS,65,996,past
8/8/2026 20:00,33.1,153.2,TS,65,996,past
9/8/2026 02:00,32.7,151.8,TS,65,996,past
9/8/2026 08:00,32.5,151.1,TS,65,996,past
9/8/2026 14:00,32.4,150.7,TS,65,996,past
9/8/2026 20:00,32.3,150.8,TS,65,996,past
10/8/2026 02:00,33.1,150.4,TS,65,996,past
10/8/2026 08:00,33.8,149.8,TS,70,992,past
10/8/2026 14:00,34.6,149.0,TS,75,988,past
10/8/2026 20:00,35.3,147.4,TS,85,985,past
11/8/2026 02:00,36.3,146.0,TS,85,985,past
11/8/2026 08:00,36.8,143.5,TS,85,985,past
11/8/2026 14:00,36.5,142.1,TS,85,985,past
11/8/2026 20:00,36.0,140.2,TS,75,990,past
12/8/2026 02:00,35.8,137.5,LPA,40,995,current
