datetime,lat,lng,intensity,wind,minimum central pressure,type
8/8/2026 20:00,22.7,139.5,TD,45,1000,past
9/8/2026 02:00,22.5,140.9,TD,45,1000,past
9/8/2026 08:00,22.1,141.5,TD,55,998,past
9/8/2026 14:00,21.2,142.6,TS,65,997,past
9/8/2026 20:00,21.1,143.9,TS,65,997,past
10/8/2026 02:00,20.6,146.4,TS,65,997,past
10/8/2026 08:00,20.7,148.4,TS,75,992,past
10/8/2026 14:00,21.1,150.8,TS,75,992,past
10/8/2026 20:00,22.2,152.4,TS,65,997,past
11/8/2026 02:00,23.3,154.0,TS,75,992,past
11/8/2026 08:00,24.6,156.0,TS,85,990,past
11/8/2026 14:00,25.5,157.4,TS,85,990,past
11/8/2026 20:00,26.4,159.1,TS,75,992,past
12/8/2026 02:00,27.7,160.8,TS,75,992,past
12/8/2026 08:00,29.5,162.1,TS,65,997,current
