datetime,lat,lng,intensity,wind,minimum central pressure,type
8/8/2026 20:00,20.5,152.5,TD,45,1000,past
9/8/2026 02:00,21.1,154.5,TD,45,1000,past
9/8/2026 08:00,22.5,156.4,TD,45,1000,past
9/8/2026 14:00,23.4,157.4,TD,45,1000,past
9/8/2026 20:00,23.6,158.9,TD,45,1000,past
10/8/2026 02:00,24.8,159.6,TD,55,998,past
10/8/2026 08:00,25.6,160.1,TD,55,998,past
10/8/2026 14:00,27.1,160.7,TS,65,995,past
10/8/2026 20:00,27.5,160.6,TD,55,998,past
11/8/2026 02:00,27.5,160.2,TD,45,1000,past
11/8/2026 08:00,28.4,160.8,LPA,40,1000,current
