datetime,lat,lng,intensity,wind,minimum central pressure,type
11/8/2026 14:00,22.2,137.3,TD,45,998,past
11/8/2026 20:00,21.6,140.3,TD,45,998,past
12/8/2026 02:00,21.8,140.8,TD,55,996,past
12/8/2026 08:00,21.8,141.9,TS,65,995,past
12/8/2026 14:00,22.3,143.5,TS,65,995,past
12/8/2026 20:00,22.9,145.3,TS,65,995,past
13/8/2026 02:00,24.8,147.0,TS,65,995,past
13/8/2026 08:00,26.5,148.5,TS,65,995,past
13/8/2026 14:00,27.6,149.6,TS,65,995,past
13/8/2026 20:00,28.3,150.7,TS,65,995,past
14/8/2026 02:00,28.6,152.5,TS,65,995,current
