datetime,lat,lng,intensity,wind,minimum central pressure,type
22/09/2026 08:00,12.5,142.2,TD,55,1005,past
22/09/2026 14:00,13.3,141.6,TD,55,1005,past
22/09/2026 20:00,14.2,140.8,TD,55,1005,past
23/09/2026 02:00,14.8,140.1,TD,55,1005,past
23/09/2026 08:00,15.9,138.7,TD,55,1005,past
23/09/2026 14:00,16.1,138.1,TD,55,1005,past
23/09/2026 20:00,17.4,137.0,TS,65,1002,past
24/09/2026 02:00,17.7,135.8,TS,65,1002,past
24/09/2026 08:00,17.9,134.6,TS,65,1002,past
24/09/2026 14:00,18.8,132.9,TS,75,1000,past
24/09/2026 20:00,19.7,131.9,TS,85,995,past
25/09/2026 02:00,19.2,131.3,TS,85,995,past
25/09/2026 08:00,19.7,130.0,TS,85,995,past
25/09/2026 14:00,20.6,128.8,STS,90,990,current
